340 th frame's encode time cost:20, its send time cost:0
341 th frame's encode time cost:23, its send time cost:0
342 th frame's encode time cost:9, its send time cost:0
343 th frame's encode time cost:20, its send time cost:0
344 th frame's encode time cost:10, its send time cost:0
345 th frame's encode time cost:26, its send time cost:1
346 th frame's encode time cost:14, its send time cost:1
347 th frame's encode time cost:10, its send time cost:0
348 th frame's encode time cost:20, its send time cost:0
349 th frame's encode time cost:21, its send time cost:0
350 th frame's encode time cost:11, its send time cost:0
351 th frame's encode time cost:10, its send time cost:0
352 th frame's encode time cost:20, its send time cost:0
353 th frame's encode time cost:20, its send time cost:0
354 th frame's encode time cost:18, its send time cost:0
355 th frame's encode time cost:15, its send time cost:1
356 th frame's encode time cost:19, its send time cost:1
357 th frame's encode time cost:16, its send time cost:1
358 th frame's encode time cost:16, its send time cost:2
359 th frame's encode time cost:15, its send time cost:1
360 th frame's encode time cost:15, its send time cost:1
361 th frame's encode time cost:18, its send time cost:1
362 th frame's encode time cost:16, its send time cost:2
363 th frame's encode time cost:16, its send time cost:1
364 th frame's encode time cost:17, its send time cost:1
365 th frame's encode time cost:18, its send time cost:1
366 th frame's encode time cost:15, its send time cost:2
367 th frame's encode time cost:14, its send time cost:1
368 th frame's encode time cost:8, its send time cost:0
369 th frame's encode time cost:20, its send time cost:0
370 th frame's encode time cost:22, its send time cost:1
371 th frame's encode time cost:15, its send time cost:2
372 th frame's encode time cost:18, its send time cost:1
373 th frame's encode time cost:18, its send time cost:1
374 th frame's encode time cost:15, its send time cost:0
375 th frame's encode time cost:9, its send time cost:0
376 th frame's encode time cost:20, its send time cost:0
377 th frame's encode time cost:10, its send time cost:0
378 th frame's encode time cost:26, its send time cost:1
379 th frame's encode time cost:25, its send time cost:2
380 th frame's encode time cost:21, its send time cost:0
